x
California
"Salem, Oregon"
"Mishawaka, IN"
"Florida, USA"
"Black Hills, SD "
"Montana, USA"
"Nevada, USA"
"Oakland, CA"
"Quincy, IL"
"Redmond, WA, USA"
"Picos, piaui"
Kansas
"Philadelphia, PA"
"Chacao, Venezuela"
"Amsterdam, North Holland"
Planet Earth
DolphinsTalk.com
"Cincinnati, OH"
unknown 
United States
IAPI
Southport
"Fort Worth, TX"
usa
" Bayside, New York"
"Florida, USA"
"Madrid, Spain"
BEAT STORE Ì†ºÌæπ
"St. Louis, Missouri"
"Fort Lauderdale, Florida"
Liverpool
"Free Country, USA"
"Stanford, CA; Hawaii, USA"
caracas
Music Major | Journalism Minor
Nor CA
United States
Mesa AZ
"Chattanooga, TN"
"Lakeland, FL"
United States
"Boston, Mass."
Pennsylvania
"Florian√≥polis, Santa Catarina"
Texas
"New Jersey, USA"
Brasil
Wakanda
Mafikeng North West
"Athens, TX"
"Minneapolis, MN"
$$$
Atlanta.
"Atlanta, GA"
Hungary
Qatar
"South Bend, IN"
Texas
Chicago 
U.S.
DMV
"Burnsville, MN"
New York
"Berlijn, Duitsland"
"Indianapolis, IN"
"Phoenix, AZ"
"Wichita, KS"
terra do nunca
"Burlington, VT"
jampa
"Greenville, SC "
"Mineral del Chico, Hidalgo"
"Jackson, MS"
"Minneapolis-St. Paul, MN"
"Eagle Pass, TX"
T·ïº·ïÆ ·ëéO·ñáS·ïÆ ·ñá·ïÆ·ó©·í™·ó∞
"Las Vegas, NV"
sunshine & oranges
Kansas
"Oklahoma City, OK"
KAUZ Wichita Falls TX
Northern Illinois
"Spokane, Washington"
"Vi√±a del Mar, CHILE"
United States
"Fort Smith, Arkansas"
"Rio de Janeiro, Brasil"
"Houston, Texas"
DC-ish
Central Illinois
Views are my own -
"Abbeville, LA"
"Ventura, CA"
"Deep InnaHarta, TX"
"Washington, DC"
"San Antonio, TX"
"Nova Igua√ßu, Brasil"
"Finger Lakes, NY"
Sarasota FL (AKA Vern Land
Setor Norte - Maracan√£ 
"Elkville, IL"
New York
"Galveston, TX"
"New York, NY"
"Thorofare, NJ"
"Justus, Oklahoma"
[the driftless]
Chicago
United States
"Apex, NC"
brevemente em Paris
"Cocula, Jalisco"
"suburban Washington, D.C."
"Michigan, USA"
"Tool Tx & Tulsa, Ok"
Omnipresence.
"Minneapolis, MN"
Gilead
California
"Florida, USA"
"Miami, FL"
yes
Los Angeles Baby!
"Texarkana, TX"
wiltshire
"kansas city, mo"
United States
   
"Salem, OR"
Rep√∫blica Dominicana
King Willy / Cape Town
"Amarillo, TX"
"Mountain House, CA"
"Chicago,Ill"
"New York, NY"
"Warlando,FL"
"Hamburgo, Alemanha"
"Bahia, Brasil"
Michigan
New York
"Austin, TX"
"Rio de Janeiro, Brasil"
chasing my dreams
"Auckland, New Zealand"
Massachusetts
Torres Vedras
"Florida, USA"
"Houston, Tx ‚úàÔ∏è"
Near some monuments
Jerusalem
Modesto Ca
Tvd 
"Smithfield, NC"
United States
"Grand Rapids, MI"
off duty
weilburg
flyingmonkeyspodcast at gmail
Na√ß√£o Rubro Negra
illadelphia
Knockemstiff
"New Jersey, USA"
Atlantic Coast US
"Rock Island, IL"
"S√£o Jo√£o de Meriti, Brasil"
:(
borderless
{nsfw; block if uncomfortable}
"Jardim da Penha, Vit√≥ria"
"Atlanta, GA"
Mpumalanga
"Columbus, Ohio"
USA
"Tennessee, USA"
"Harrisburg, PA"
kent
"Los Angeles, CA"
Indiana
Washington/Arlington
NC
"Oakland, California"
Chicago and Brooklyn
Rio de Janeiro
New York City
"Houston, TX"
"Glendale, CA"
"Greenwood, IN"
Folkestone
"Fanwood, NJ"
"Lafayette, Louisiana"
bay area
"Minneapolis, Minnesota"
"Sarasota, Florida"
Anywhere I need to be
"San Francisco, CA"
Earth
"S√£o Pedro da Aldeia, Brasil"
marvel / dc / disney
"Tabernacle, NJ"
Washington DC
"Eden Prairie, MN"
I'm everywhere in socialist CA
Baltimore
"Boston, MA"
"Indiana, USA"
Antigua
"New York, USA"
"New York, NY"
New York
Berlin
Dallas
"Las Vegas, NV"
"Bridgewater, NJ"
"Orange County, NC"
"San Diego, CA"
"Fishtown, Philadelphia"
"Nevada, USA"
"Tampa, FL"
"UOfA HPER, second floor gym"
"Medina, OH"
"Boston, MA"
The City of Crohnsville
"Aberdeen, SD"
"Aberdeen, SD"
"Lafayette, LA"
Northwest Arkansas
"Santa Cruz, RS"
"West Monroe, La"
"Montreal, QC"
"Burlington, Vermont"
Boston
"New Plymouth District, New Zealand"
"Outskirts, Northern Powerhouse"
"St. Louis, MO"
"Krooklyn, NY"
"Indianapolis, IN"
"State College, Pennsylvania"
United States of America
"Red Deer County, Alberta"
"Huntington-Charleston,WV"
"California, USA"
"Falls Church, VA"
√Öland
"Near Manchester, NH"
"St Louis, MO"
Jeddah
Srinagar
Alaska/Idaho/Oregon/Washington
"Golden, CO"
"Cordovil, Rio de Janeiro"
Kabwe
Bermuda
Down the hold just passing time
"Norman, OK"
"Alagoinha, Brasil"
"Albertville, AL"
'Murica
"New York, NY"
"Washington Heights, NY"
"Detroit, Michigan"
"Bras√≠lia, Brasil"
Make Money
Puerto Rico
"Halifax, NS"
DePauw University
Bristol
"St. Paul, Minnesota"
"Bristol, CT"
"Spartanburg, SC"
United States
Boston Mass
"Waterbury, CT"
"Natchitoches, LA"
New Jersey
"Erie, Pa."
"Wenham, MA"
"Peoria, IL"
"Washington, D.C."
yes
TX
"Framingham, Mass"
Central Va
"Washington, USA"
"Boston, MA"
Glasgow
Texas
"California, USA"
"Woodbridge, VA USA"
FL/NC USA
UT
"Lawrence, KS"
"Caltech, Pasadena, CA, USA"
"Gravesend, South East"
"Lehigh Valley, PA/NJ"
"Los Angeles, CA"
Ì†æÌ¥≥
"Macon, Georgia"
"Midlothian, VA"
Instagram: jkopftwins
United States
"Sao Paulo, Brasil"
"Mount Juliet, TN "
RIP VITO‚ù§Ô∏è
"Florida, USA"
Queens
"Washington, D.C."
"Cartersville, GA"
"Roswell, GA"
"North Carolina, USA"
"New Brunswick, NJ"
"Philadelphia, PA"
"High Point, NC"
"Roslindale, Boston"
WNY Region
New York
"Boston, Massachusetts"
"Los Angeles, CA"
"San Antonio, TX"
"Columbus, OH"
"Niter√≥i, Brasil"
"Jefferson City, MO"
pmts cs
"Kansas City, MO"
United States
"Rio de Janeiro, Brazil"
Chicago 
"Illinois, USA"
"Chicago, IL"
"Kent, Ohio"
The basic multilingual plane
"Baltimore, MD"
Reno/Carson/Fallon NV
LAS VEGAS
"Boca Raton, FL"
"Nova Igua√ßu, Brasil"
Ima worthless
Rio de Janeiro
"Bandung, Jawa Barat"
"Massachusetts, USA"
Window Seat‚úà
"Silicon Valley, California"
BH - MG
"Thousand Oaks, CA"
Los Angeles
New Hampshire
Alpha Centauri
"Omaha, NE"
she/her | bi/poly | entp | USA
"Prince George's County, MD"
Iowa
Botswana
Valhalla & Geneva
North Carolina
San Francisco
USA
Nairobi
"Abilene, TX"
palmas-to
United States
GTA
Hertfordshire/Durham
"Florida, USA"
"Dallas, Texas"
 
northern california
"manhattan ,nyc"
"Georgia, USA"
Kansas
"Cumming, GA"
"West Columbia, SC"
Abu Dhabi
ky
California
"Columbus, OH"
troye + tara follows
Jacks Creek TN
KOTA RAJASTHAN
"Cincinnati, Ohio"
Facebook: MilkyWay
"Quad Cities, Iowa/ Illinois"
"New York, NY"
Los Angeles
"Chapel Hill, NC"
"PA/MD, USA"
"Atlanta, GA"
Pullman
"Vilnius, Lithuania"
"Lancaster County, PA"
USA
"Green Bay, WI"
Lasgidi
North Georgia
"Bakersfield, CA"
"Edmonds, WA"
Prague
"Rio de Janeiro, Brasil"
"WAVELAND, USA"
nova igua√ßu - rj
"Las Vegas, NV"
"ATL, GA"
"Chattanooga, TN"
Sydney & sometimes Melbourne 
The TARDIS/Castle Hopper
West Virginia
Brooklyn
"Georgia, USA"
"Charlotte, NC"
North America
"Madison, Wis."
United States
Los Angeles
"Birmingham, Alabama"
Charlotte | Jersey City
French Southern and Antarctic
"Laranjeiras, Rio de Janeiro"
"Greensboro, NC"
‚úåÔ∏èNY ‚ù§Ô∏è
"Rio de Janeiro, Brasil"
United States
"Houston, TX"
United States
"Los Angeles, California"
"Thorofare, NJ"
Wisconsin
"Queens, NY"
New York City
"Charleston, SC"
"Phoenix, AZ"
"Kansas City, KS"
"Drexel Hill, PA"
"Bolingbrook, IL"
San Francisco Bay Area
Little Rock
Phalaborwa / Pretoria 
"Middletown, DE"
"Wausau, WI"
"Houston, TX"
"Washington, DC"
"Rio de Janeiro, Brasil"
"Boca Raton, FL"
"cleveland, ohio"
San Francisco ‚Ä¢ Ca
New York City
"Seattle, WA"
BOSTON
"Pocatello, ID"
Mid-Michigan
"Washington, DC"
"UC Berkeley, California"
"South Central , Louisiana"
"Chicago, IL"
United States
United States
"California, USA"
"USA Heartland, Second Life"
Milky Way Galaxy
"Kos, Greece"
Nashville
NE OH/ NW PA
"Melbourne, Victoria"
"New York, USA"
Rosyth
"Oakland, CA"
Los Angeles 
"Oakland, CA"
All Around
"Poteau,OK"
United States
"Tunica, MS"
"Silver Spring, MD"
"Northbrook, IL, USA"
"East Cambridge, Massachusetts"
"Asheville, NC"
Word-Wide
Earth
"Chesterfield, VA"
"Dallas, TX"
Sydney
"Dacula, GA"
"Tijuca, Rio de Janeiro"
"Dallas, TX"
"Des Moines, IA"
"Branson, MO"
"Dallas, TX"
"Orange County, CA"
"Beverly Hills, CA"
"Miami, FL"
heaven earth is temporary
USA
"Niagara Falls, NY"
"Sicile, Italie"
Pennsylvania
Rural USA
"Boca Raton, FL"
United States
"Alexandria, LA"
Agartha
KUCHING
Scaffold Army Manchester
Freguesia - JPA
"California, USA"
JHB/CPT/Mgowo
"Georgia, USA"
"Alpharetta, GA"
Texas Ì†ΩÌ∂§
"Puyallup, WA"
"Enumclaw, WA"
"Bellevue, WA"
"Kirkland, WA"
"Mercer Island, WA"
"Bonney Lake, WA"
"Peachtree Corners, GA"
"Gig Harbor, WA"
"Douglasville, GA"
"North Druid Hills, GA"
"Smyrna-Vinings, Georgia"
"Woodinville, WA"
"Woodstock, GA"
"Renton, WA"
"Sandy Springs, GA"
"Woodbridge, Suffolk"
USA
"Massachusetts, USA"
Northwest Arkansas
New York
"Cape Girardeau, Missouri"
"New Orleans, LA"
"Lawrence, KS"
east coast
Bryan/College Station. TX
California
"Roanoke, Virginia"
"Norman, Oklahoma"
New York
"Somerset Village, Bermuda"
"Arlington, VA"
Seattle & Redlands
riding a motorcycle 
Brooklyn NYC
Los Angeles 
"Rockford, Illinois"
United States
California
Grand Coulee WA
"Washington, DC"
"Newburgh, IN"
Smashville
"Sammamish, WA"
"Shoreline, WA"
"MEDIA, Pa."
"New Orleans, LA"
Jerz
Feasterville
The Hunt for Winners
New York
Jersey
"Dallas/Fort Worth, Texas "
Butthole
"Houston, Texas"
"Petr√≥polis, RJ"
Thurrock
"Olathe, KS"
"Dollard des Ormeaux, Qu√©bec,Ca"
boarder of NH/MA
"Arlington, VA"
"Washington State, USA"
"Rio de Janeiro, ZN"
"Bergen, Norway"
Soviet Canuckistan
"Sunnyvale, CA, USA"
"North Carolina, USA"
"Springfield, PA"
"Seattle, WA"
"Canton, GA"
"Monroe, GA"
"Springfield, IL"
"Johns Creek, GA"
"Dallas, GA"
"Buckhead, GA"
"Decatur, GA"
"Nova Igua√ßu, Brasil"
"Hudson, Florida"
Here & There
Austr√°lia Terra Dos Cria Ì†ºÌ∑¶Ì†ºÌ∑∫‚úå
Everywhere & Nowhere
"Gilead, a√±o II"
United States
"Los Angeles, CA"
"Philadelphia, PA"
Chicago suburbs
"Cleveland,Ohio"
"Kingwood, TX"
Los Angeles
–≥–¥–µ-—Ç–æ –≤ –∫–æ—Ä–µ–µ
"NY,NY-SF,CA-ALL POINTS BETWEEN"
Los Angeles
Los Angeles
St. Louis
"Henryetta, Oklahoma "
"Charlotte, NC"
"Greensboro, NC"
Charlottesville
USA
USA
California
Manchester
United States
"Atlanta, GA"
"Volta Redonda, Brasil"
"Austin, TX"
Planet Earth
√únye /Ordu
"Chicago, Illinois"
"Ipswich, MA"
"North Carolina, USA"
Nigeria
"Manhattan, NY"
"Ravenna, OH"
"Nairobi, Kenya"
Nevada
Liverpool/Leamington Spa
"Bangor, Maine"
Hot Earth
the clouds ‚òÅÔ∏è
Caracas   
Seattle
Rio de Janeiro 
"Waterbury, CT"
Federated States of Micronesia
"Jonesboro, Arkansas USA"
"Los Angeles, Ca."
United States
NOLA ‚Ä¢ ‚òÅÔ∏è‚Åπ
Switzerland
South Central USA
"the woods, North Cascades"
"Philadelphia, PA"
"Golden Valley, MN"
Sheffield
DMV
"Cleveland, OH"
Cuiab√° - Mato Grosso
"Washington, D.C."
"Portland, OR"
"ClevElanD, OH"
Ploughing a furrow
City of Wannabe Angels 
Spitters Are Quitters
"Natal, Brasil"
Anchorage
"Los Angeles, Ca"
"New York, NY"
Lincoln Ne
"Oakland, CA"
"Falls Church, Virginia"
Campinas-SP
"Worcester, MA"
"Duck River, TN"
Massachusetts
"Nairobi, Kenya"
Wirral
"Bogot√°, D.C., Colombia"
"State of Wisconsin, U.S.A"
"Cashion, OK to Carrollton, GA"
"Omaha, NE"
"Lake Havasu City, AZ"
"Brighton,Sussex"
"Montana, USA"
"North Dakota, USA"
"Hollidaysburg, PA"
"Clarksville, TN"
Maine
"Washington, DC"
"Columbus, OH"
Ciudad de M√©xico
running 
"Kar≈üƒ±yaka, ƒ∞zmir"
"Porirua, New Zealand"
"South Farmingdale, NY"
"Boston, MA"
"Geeenwood Village, Colorado"
Nationwide
New Zealand
Jamaica
"Itasca, IL"
Eastern North Carolina
"Lubbock, Texas"
Sri Lanka
ab.can.
"St Louis, MO"
"Chicago, IL"
"Grantsburg, Wisconsin, USA"
"Columbus, OH"
Beacon
"Los Angeles, CA"
S√£o Paulo
"Buffalo, NY"
CARACAS-VENEZUELA
its pronounced kay-lee
Silver Spring
"Katy, TX"
"Berkeley, CA"
"Louisville, KY"
"Chicago, IL"
"New York City, USA"
"Detroit, MI"
A Closed System
"Madiun, Jawa Timur"
Itz 
Seattle or Corpus Christie
"Memphis, Tn"
United States
USA
United States
flamengo √© a minha religi√£o
"New Jersey, USA "
"Austin, TX"
"Rockville, MD"
"Georgia, USA"
New Zealand
"New Concord, Ohio"
LA/Philly
Under a bridge
On the beach of the Moon
"Thornton, CO"
okc
Washington DC
"Huntington Beach, CA"
"Bras√≠lia, Brazil"
"Boston, MA"
aberdeenshire
"Fernandina Beach, FL"
Where The Jumblies Live 
[RP. OC Trainer]
"Virginia, USA"
Rome
Broke Ass State Of Kansas
Texas
"Atlanta, GA"
saratoga springs ny
"San Diego, CA"
"San Diego, CA"
"Holladay, UT"
California
Winnebago County Illinois
The Greater Chicagoland Area
Heaven Ì†ΩÌπèÌ†ºÌøæÌ†ΩÌ≤°Ì†ΩÌ≤Ø
United States
$$$$$$$$$$$$
"Pierre, SD"
"Michigan, USA"
"Volta Redonda, Brasil"
"Pennsylvania, USA"
United States
"Texas, USA"
USA
"Washington, DC"
United States of America
Houston Texas 
"Providence, RI"
"Shithole, USA"
California USA
M  E  S B   H  L
Maldives
"Brick City, Devilsland"
"Longmont, CO"
"Indianapolis, IN"
Midland/Odessa Texas
"Nashville, TN"
"Houston, TX"
"Los Angeles, CA"
Washington DC
"Peabody, MA"
"Midland/Odessa, TX"
"Houston, TX"
"L√©vis, Qu√©bec"
"New York, USA"
United States
"Columbia, SC"
East of Flumdiddle
"Bainbridge Island, WA"
"Manchester, CT"
"California, USA"
"Ilha do Governador, RJ "
United States
los angeles and palm springs
Indiana
"Hillsboro, OR"
"California, USA"
New York
"Boston, MA"
"Harvey, IL"
Ur guess is as good as mine ! 
"San Jose, CA"
"Minneapolis, MN"
Many Places
"SoCal Born, SoCal Bred"
"Ohio, USA"
"Wichita Falls, Texas"
"Trenton, NJ"
"Ferndale, MI"
"Pacific Northwest, USA"
"Brooklyn, New York"
"Makati, Philippines"
Tampa FL ‚úà SanAngelo tx
"Ipanema, Rio de Janeiro, Brasil"
"Jo√£o Pessoa, Brazil"
"Uppsala, Sverige"
Seattle
"Portland, Oregon"
ATX
"Florian√≥polis, Brazil"
"Vacaville, CA"
Minneapolis
"Washington, DC"
local group
"ÎåÄÌïúÎØºÍµ≠, ÏÑúÏö∏"
"Berlin, CT"
"Leme, Rio de Janeiro"
"Caldwell, ID"
"Aracaju, Brazil"
"Brooklyn, NY"
Chile
"Albuquerque,NM"
"Nashville, TN"
Por a√≠  
"Houston, Texas"
USA
T√ºrkiye
"Duluth, MN "
"Las Vegas, Nevada"
Arkansas
Los Angeles 
"Atlanta, Georgia"
Weldon Spring MO
"Sterling, VA"
"Manhattan, NY"
"Atlanta, GA"
North Phoenix
"San Francisco, CA"
"Hollywood, FL"
sunny blackpool
"Philadelphia, PA"
Texas
"Seattle, WA"
"DeFuniak Springs, FL"
United States
"Townsend, GA"
"Wilmington, NC"
"Wilmington, NC"
"New Bern, NC"
"Fayetteville, NC"
"Sapiranga, Brasil"
Rocky Mountains
United States
"Santo Domingo, RD"
"vitoria, br             "
Illinois
New York City
Toledo
"Bismarck, North Dakota"
United States
"Lima, Peru"
"Oviedo, FL"
"Warsaw, NY"
Nashville
Ì†ºÌ∑øÌ†ºÌ∑¶
Rio de Janeiro
"Santiago, Chile"
"Greeley, CO"
Socialist Nirvana
"Lincoln, NE"
"Seattle, WA"
The middle of nowhere
America The Beautiful
"Bend, OR"
United States
"Walnut Creek, California"
"Washington, D.C."
"St Louis, MO"
"Charleston, SC"
Monsatan X
"Spartanburg, SC"
"Los Angeles, California"
Midwest
MaisonduSuaveFineandApplied
Detroit
"Brooklyn, NY"
"Monrovia, Liberia"
"shreveport, la"
NYC
"Los Angeles, Cali"
"Niter√≥i, Rio de Janeiro "
"Washington, DC"
"Marion, Ohio"
"Greensboro, NC"
Somewhere South of Seattle
Near Skinners Bottom Cornwall
Montreal & Vermont
"Johnson City, TN"
"San Diego, CA"
"Over the Rainbow, Oz"
Prob eating chicken nuggets
"Andaluc√≠a, Espa√±a"
"St Paul, MN"
United States
"Podgorica, Montenegro"
Brittania
"Huntsville, AL"
"Carrboro, where else!"
UGANDA
"Los Angeles, CA"
USA
Emirates Stadium
"Duque de Caxias, RJ, Brasil"
"westchester county, new york"
"Hauppauge, New York, USA"
"Zanesville, Ohio"
"Sandusky County, Ohio"
"Chillicothe, Ohio"
"Coshocton, Ohio"
"Albuquerque, NM"
Brasil
Las Vegas
LYON
Planet Earth
"Phoenix, AZ"
In bed thinking about death
United States
Kiwi in NYC Ì†ΩÌ∏ÄÌ†ΩÌ∏Ä
Patos-PB
By the food 
"Lagoa Santa, Brasil"
California
"Chicago, IL"
"Grand Rapids, MI"
Planet Kamino
"Broadway, VA"
WPhilaBornNRaiseÌ†æÌ∂ÖSwirlyInSFla
Los Angeles 
"Geneva, Switzerland; DC, USA"
Asgardia
"Madrid, Comunidad de Madrid"
"St. Louis, MO (US)"
Dƒ∞YARBAKIR
"Texas, Interstate Towing & Recovery of Kyle"
"Washington, DC"
"Darwin, Northern Territory"
"Glasgow, KY"
"Leesburg, FL"
istanbul
"Riverside, CA"
"Seattle, WA"
"Arlington, VA"
he/him
"Rio de Janeiro, Brasil"
"Minnesota, USA"
Guildford
"Lansing, MI"
leftcoast. 
"Boston, MA"
"Carrollton, TX"
Southwest Florida
"San Francisco, CA"
"California, USA"
S√£o Luis - MA
InMyFamly'sLovingEmbracenU?
"Pasadena, CA"
"Palm Coast, FL"
Manaus - Brasil
"St. Paul, Minnesota"
"A van, down by the river"
Baltimore
chicago
"Oviedo, FL"
"Tennessee, USA"
Turkey
Pret a Manger
csulb
NJ
"New Port Richey, Florida"
Republic of Belarus
Nanaimo bc
"Oklahoma City, OK"
"Caracas, Venezuela"
Nordeste
United States
Ocean Beach CA USA
Austin
"California, USA"
United States of America
"Washington, DC"
"Naperville, IL"
Pittsburgh Pennsylvania
LOS (vegAN)GELES
‚òÜ Heart Angel ‚òÜ
"Atlanta, GA"
"Arlington, TX"
"California, USA"
United States
Brooklyn to the DMV
"Charlotte, NC"
Wilmington DE
"Atlanta, Georgia"
Burton-On-Trent
"Rio de Janeiro, Brasil"
"Phoenix, Arizona"
"Arizona, USA"
"U.S., Guam and Puerto Rico"
Northern California
"Burlington, VT"
"Nassau, Bahamas"
"Davenport, IA"
CT Yankee in King Greg's Court
USA
"Tarnowskie G√≥ry, Polska"
Montreal
wonderland
"Pittsburgh, Baltimore, NYC"
"Portland, Maine"
"Washington, DC"
United States
"Virginia, USA"
Gaia
"Los Angeles, CA"
Philadelphia
"Pennsylvania,Maryland,Delaware"
"Bras√≠lia, Brasil"
Earth
DC metropolitan area
United States
MS to WIN CITY
Cleveland
"Jackson, CA"
LA
"Dar es salaam, Tanzania"
"Iowa City, Iowa"
"Westminster, CA"
"Washington, D.C."
"Alanya, T√ºrkiye"
"Arlington, VA"
San Francisco
Riverside County
"Bangkok, Thailand"
probably rehearsals or church
"Honolulu, HI"
"Baton Rouge, LA"
western NY
"Florida, USA"
"Michigan, USA"
Somewhere in Kansas
"Naples, Florida"
"Binghamton, NY"
"Seattle, WA"
"Evansville, IN"
"Fort Myers, Florida"
"Ithaca, NY"
"Elmira, NY"
the Forgotten Borough
"Indianapolis, IN"
"Kentucky, USA"
"Winteringham, North Lincs"
"Tampa Bay area, FL"
"San Bernardino County, CA"
"Santiago, Chile"
"New Jersey, mostly"
"Jenkintown, PA"
"Bay Area, CA"
California
United States
Ì†ºÌ∑®Ì†ºÌ∑±TEXAS Born&Raised Ì†æÌ¥†
The Gas
"Atlanta, GA"
New Orleans/Connecticut
Fort Wayne
"Rockwood, TN"
Hogwarts
West suburban Chicago
Quad Cities
planet Earth
"Wilmington, Delaware"
chicagoland
Washington DC metro area
"Minnesota, Minnesota "
"Hoffman Estates, IL"
"Chicago, IL"
Quebec
Everywhere
"Parkville, MO"
"Alexandria, VA"
Don't Touch My Hair
"Fullerton, CA"
"Atlanta, GA"
"Philadelphia, PA"
NJ and some days NYC
Right here
New York City
No Mean City
Ì†ºÌ∑µÌ†ºÌ∑™
"Fort Worth, Texas"
the region
"Staunton, Va."
San Antonio Tx
Sin City 
"Morris County, New Jersey"
Rio de Janeiro
"Columbus, OH"
"Corpus Christi, TX"
"Miami, FL"
OVA YA MOM CRIB
"Florida, USA"
"abingdon, va"
"Long Island, NY"
"Atlanta, GA"
"Mesquita, RJ"
somewhere whining to soca
Aboli√ß√£o 
"Maine, USA"
"Saint Petersburg, FL"
Kristiansand
"St Louis, MO"
"Richmond, BC"
"Atlanta, GA"
 Vegas
DETROIT MOTOR CITY
"Little Rock, AR"
Louisiana to Atlanta
‚úµ  Àö ‚ú´    Àö  ‚ãÜ   ‚òΩ ¬∑    ‚úß Àö ¬∑
"Texas, USA"
Anywhere Drinkn Barium Sulfate
"Sacramento, CA"
"Lampeter, PA"
norway
"Costa Mesa, CA"
Constantinopla - Bizancio
"Indiana, USA"
"Indiana, USA"
Pittsboro
"Sydney, New South Wales"
"Washington, DC"
Finland
"Chicago, IL"
"Philadelphia, Pa."
"Minnesota, USA"
"Raleigh, NC"
Southeast of Disorder
"Fort Collins, CO"
United States
"Memphis, TN"
"Howell, MI"
"Battle Creek, Michigan"
"West Allis, WI"
Palmas
SW Missouri
"Clearwater, FL"
"Wichita, Kansas"
"Neosho, Missouri"
"Seattle, WA"
Madagascar
"Rochester, NY"
Outer Space!!
"Boston, MA"
USA
"Wisconsin, USA"
"Lenexa, KS"
"Trabzon, T√ºrkiye"
The America's.
Dallas/OKC 
King Williams Town
"Sacramento, CA"
"Salt Lake City, UT"
"Melbourne, FL"
"‚àöŒ±. –≤‡´ØŒ±‡´Æ—í, ‚àö¬°‡´®g¬°‡∏ó¬°Œ±"
"Bras√≠lia, Brasil"
"Dobrada, Brasil"
San Francisco Bay Area 
Brooklyn          
Pittsburgh
"Ceres, CA"
The Jersey Shore
"Bryan, TX"
"Biloxi, MS"
SINGAPORE 
"Hershey, PA"
"Findlay, Ohio"
Cear√° Brasil Ì†ºÌ∑ßÌ†ºÌ∑∑
"Oakland County, MI"
"Lancaster, Ohio"
ATL ‚Ä¢ LA ‚Ä¢ CINCY
"San Rafael, CA"
T√úRKƒ∞YE CUMHURƒ∞YETƒ∞ VATANDA≈ûI
he/him
Western Region of USA
Turkey
"Washington, DC"
SE LDN
Utah
F.Y.I.
Oxfordshire
"Krookyn, NYC"
"East Windsor, NJ"
"Cleveland, OH"
"Michigan, USA"
"Atlanta, GA"
"Laranjeiras, Brasil"
"Edina, MN"
"San Francisco, CA"
"Balch Springs, Tx."
"Aberdeen, SD"
Regi√£o do Polo T√™xtil
Tyler Texas
"Zeerust&Potchefstroom, SA"
PHL/NYC
"Los Angeles, CA"
"Yucaipa, CA"
"Louisville, Ky"
"Ohio, USA"
"Charlotte, NC"
Chicago
"Wisconsin, USA"
"Overijssel, Enschede"
BRONX NEW YORK
"JKT, ID"
"Newark, Ohio"
"Guapimirim, RJ, Brazil"
San Diego
Razorback Mt. Morgan
United States
"Westerville, OH"
"California, USA"
"Tempe, AZ"
"California, USA"
Washington DC
in the garden
"Oakland, CA"
"East Orange, NJ "
Chicago (west town)
Johannesburg
"Eads, Colorado"
"Colorado, USA"
in a galaxy far far away
"New Baltimore, MI"
"Northville, MI"
"Novi, MI"
"Lake Orion, MI"
"West Bloomfield, MI"
"Royal Oak, MI"
Bay Area
"Staten Island, NY"
" Tennessee , USA "
"Sacramento, CA"
"Overland Park, KS"
back home
U.S.A
"San Diego, CA"
cool
United States
"Nairobi,Kenya"
"New York, NY"
Don't look for me
John Innes Centre Norwich
"Leighton, AL"
Turkey
"Chicago, IL"
my own head
"Margate, FL"
"Louisiana, USA"
"Washington, USA"
"New Jersey, USA"
Planet Earth
"Detroit, MI"
en narnia 
"California, USA"
"Sacramento, CA"
Cambridge
"Asheville, NC"
"Los Angeles, CA"
"San Diego, CA"
Wanderer
in a sunflower 
"Murphysboro, IL"
‚îá·¥è·¥Ñ‚îä–ºœÖ‚Ñì—ÇŒπŒΩ—î—è—ï—î‚îä Ä·¥ò‚îá
Louisiana
Quito-Ecuador
"Michigan, USA"
"Baton Rouge, LA"
"Port Harcourt, Nigeria"
"Washington, DC"
Texas
"Phoenix, AZ"
"Tulsa, OK"
"St Clair Shores, MI"
"Troy, MI"
"Farmington Hills, MI"
T√ºrkiye
United States
Fundo do Po√ßo 
Edge Hill University
"New Jersey, USA"
"Pittsburgh, PA"
Cardiff
"Rivers State, Nigeria."
Rio de Janeiro
New Orleans
"Orange county, CA"
Omaha NE
Right Here On The Left‚Ñ¢Ô∏è
"Ocala, FL"
Genovia 
"Spencer, WV"
"Augusta, GA"
"Texas, USA"
ÿ≠Ÿäÿ´ ÿßŸÑÿ≥ŸÖÿßÿ° ÿ•ŸÜÿ™Ÿáÿßÿ°
"Portland, OR"
Jamaica
"Atlanta, GA"
"Iowa City, Iowa"
"Cleveland, OH"
Jockistan
"Brussels, Belgium"
United States
"Austin, TX"
"Benghazi , Libya."
"Miami, Florida"
"Islamabad,Balochistan&Karachi"
Open dms
"Goldsboro, NC"
Dammam
"Madison, WI"
"San Francisco, CA"
lagos
"Madison, WI"
New Jersey
"Sherman Oaks, Los Angeles"
Chicago
Taylorsville 
"Florida, USA"
Everywhere
"Resistance, USA"
casa magna cancun
"Orange County, California"
"Orlando, FL"
"iGET around, pay attention."
Rio de Janeiro
United States
Rio de Janeiro 
Turtle Island
The Hills of Woodstock...
Stuntin' in the gym
"Tallahassee, FL"
"Maric√°, Brasil"
"San Jose, CA"
Rio de Janeiro
Planet Earth Where Else Ì†ΩÌπÑ
‚òÖ
