,x
1264,"Tuscaloosa, Alabama"
1265,"California, USA"
1266,"Akron, Ohio"
1267,orange farm SA
1268,"Mountain House, CA"
1269,Lote X
1270,Recife
1271,"Caracas, Venezuela."
1272,"Birnin Zana, Wakanda"
1273,Kentucky
1274,Rio de Janeiro
1275,"Virginia, Jersey native"
1276,"Antioch, CA"
1277,Bear Island
1278,"Seattle, Washington"
1279,Paterson-North Jersey
1281,"Natal, Brasil"
1282,RoCo
1283,rj
1284,"Tennessee, USA"
1285,United States
1286,"Baltimore, Maryland"
1287,"Clearwater, FL"
1288,"Oakland, CA"
1289,Balor Wonderland
1290,the Moon
1291,"Wyoming, USA"
1292,na tua
1293,Washignton DC
1294,Nilópolis
1295,"Washington, DC"
1296,"Wellington, New Zealand"
1297,New York
1298,Mureta da Urca
1299,hotel cortez
1300,York & Leeds
1301,"Grapevine, Texas"
1302,Oxnard
1303,"Bayfield, CO"
1304,idaho
1305,"New Jersey, USA"
1306,"Wayne, NJ"
1307,Massachusetts
1308,"Allentown, PA"
1309,United States
1310,"New York, NY"
1311,"San Diego, CA"
1312,"Stafford, VA"
1313,"Lubbock, TX"
1314,"Bay Shore, NY"
1315,Gaelandia
1316,"Sevilla, España"
1317,New Zealand
1318,New Orleans
1319,San Francisco Bay Area
1320,"New York, NY"
1321,"Las Vegas, NV"
1322,NWA & River Valley
1323,"Tampa, FL"
1324,"Medford, OR"
1325,"Chicago, IL"
1326,New York & תל אביב
1327,Oregon's Paris
1328,Niterói-Rio de Janeiro
1329,Rio de Janeiro/RJ
1331,Miami
1332,"West Lafayette, IN"
1333,"Brooklyn, NY, United States"
1334,Texas/Oklahoma/Florida
1335,San Diego
1336,"San Diego, CA"
1337,HOME
1338,"Berrytown, Virginia, USA"
1340,"Massachusetts, USA"
1341,"College Station, TX"
1342,"Sioux Falls, SD"
1343,"Greenville, SC"
1344,Republic of the Philippines
1345,i'm a (solid gold) unicorn.
1346,"Kokomo, IN"
1347,"Nova Iguaçu, Brasil"
1348,Guarapari/ES
1349,"Florida, USA"
1350,"Compton, CA"
1351,USA
1352,"Buffalo, NY"
1353,"Seattle, WA"
1354,"Dallas, TX"
1355,Alaska
1356,"Columbus, OH"
1357,Deptford sloth
1358,"New York, NY"
1359,West Michigan
1360,"Miami, Florida, USA"
1361,"Albany, GA"
1362,Brony Fandom
1363,"Idaho, USA"
1364,Obat Peninggi Badan Alami
1365,Indianapolis
1366,大阪
1367,"Florida, USA"
1368,"Beaumont, Texas"
1369,"Detroit, MI"
1370,"Brooklyn, NY"
1371,"Silver Spring, MD"
1372,"Mishawaka, IN"
1373,"Florida, USA"
1374,"Black Hills, SD "
1375,"Montana, USA"
1376,"Nevada, USA"
1377,"Oakland, CA"
1378,"Quincy, IL"
1379,"Redmond, WA, USA"
1380,"Picos, piaui"
1381,Kansas
1382,"Philadelphia, PA"
1383,"Chacao, Venezuela"
1384,"Amsterdam, North Holland"
1385,Planet Earth
1386,DolphinsTalk.com
1387,"Cincinnati, OH"
1388,unknown
1389,United States
1390,IAPI
1391,Southport
1392,"Fort Worth, TX"
1393,usa
1394," Bayside, New York"
1395,"Florida, USA"
1396,"Madrid, Spain"
1398,"St. Louis, Missouri"
1399,"Fort Lauderdale, Florida"
1400,Liverpool
1401,"Free Country, USA"
1402,"Stanford, CA; Hawaii, USA"
1403,caracas
1404,Music Major | Journalism Minor
1405,Nor CA
1406,United States
1407,Mesa AZ
1408,"Chattanooga, TN"
1409,"Lakeland, FL"
1410,United States
1411,"Boston, Mass."
1412,Pennsylvania
1413,"Florianópolis, Santa Catarina"
1414,Texas
1415,"New Jersey, USA"
1416,Brasil
1417,Wakanda
1418,Mafikeng North West
1419,"Athens, TX"
1420,"Minneapolis, MN"
1421,$$$
1422,Atlanta.
1423,"Atlanta, GA"
1424,Hungary
1425,Qatar
1426,"South Bend, IN"
1427,Texas
1428,Chicago
1429,U.S.
1430,DMV
1431,"Burnsville, MN"
1432,New York
1433,"Berlijn, Duitsland"
1434,"Indianapolis, IN"
1435,"Phoenix, AZ"
1436,"Wichita, KS"
1437,terra do nunca
1438,"Burlington, VT"
1439,jampa
1440,"Greenville, SC "
1441,"Mineral del Chico, Hidalgo"
1442,"Jackson, MS"
1443,"Minneapolis-St. Paul, MN"
1444,"Eagle Pass, TX"
1445,Tᕼᕮ ᑎOᖇSᕮ ᖇᕮᗩᒪᗰ
1446,"Las Vegas, NV"
1447,sunshine & oranges
1448,Kansas
1449,"Oklahoma City, OK"
1450,KAUZ Wichita Falls TX
1451,Northern Illinois
1452,"Spokane, Washington"
1453,"Viña del Mar, CHILE"
1454,United States
1455,"Fort Smith, Arkansas"
1456,"Rio de Janeiro, Brasil"
1457,"Houston, Texas"
1458,DC-ish
1459,Central Illinois
1460,Views are my own -
1461,"Abbeville, LA"
1462,"Ventura, CA"
1463,"Deep InnaHarta, TX"
1464,"Washington, DC"
1465,"San Antonio, TX"
1466,"Nova Iguaçu, Brasil"
1467,"Finger Lakes, NY"
1468,Sarasota FL (AKA Vern Land
1470,"Elkville, IL"
1471,New York
1472,"Galveston, TX"
1473,"New York, NY"
1474,"Thorofare, NJ"
1475,"Justus, Oklahoma"
1476,[the driftless]
1477,Chicago
1478,United States
1479,"Apex, NC"
1480,brevemente em Paris
1481,"Cocula, Jalisco"
1482,"suburban Washington, D.C."
1483,"Michigan, USA"
1484,"Tool Tx & Tulsa, Ok"
1485,Omnipresence.
1486,"Minneapolis, MN"
1487,Gilead
1488,California
1489,"Florida, USA"
1490,"Miami, FL"
1491,yes
1492,Los Angeles Baby!
1493,"Texarkana, TX"
1494,wiltshire
1495,"kansas city, mo"
1496,United States
1497,
1498,"Salem, OR"
1499,República Dominicana
1500,King Willy / Cape Town
1501,"Amarillo, TX"
1502,"Mountain House, CA"
1503,"Chicago,Ill"
1504,"New York, NY"
1505,"Warlando,FL"
1506,"Hamburgo, Alemanha"
1507,"Bahia, Brasil"
1508,Michigan
1509,New York
1510,"Austin, TX"
1511,"Rio de Janeiro, Brasil"
1512,chasing my dreams
1513,"Auckland, New Zealand"
1514,Massachusetts
1515,Torres Vedras
1516,"Florida, USA"
1517,"Houston, Tx ✈️"
1518,Near some monuments
1519,Jerusalem
1520,Modesto Ca
1521,Tvd
1522,"Smithfield, NC"
1523,United States
1524,"Grand Rapids, MI"
1525,off duty
1526,weilburg
1527,flyingmonkeyspodcast at gmail
1529,illadelphia
1530,Knockemstiff
1531,"New Jersey, USA"
1532,Atlantic Coast US
1533,"Rock Island, IL"
1538,"Jardim da Penha, Vitória"
1539,"Atlanta, GA"
1540,Mpumalanga
1541,"Columbus, Ohio"
1542,USA
1543,"Tennessee, USA"
1544,"Harrisburg, PA"
1545,kent
1546,"Los Angeles, CA"
1547,Indiana
1548,Washington/Arlington
1549,NC
1550,"Oakland, California"
1551,Chicago and Brooklyn
1552,Rio de Janeiro
1553,New York City
1554,"Houston, TX"
1555,"Glendale, CA"
1556,"Greenwood, IN"
1557,Folkestone
1558,"Fanwood, NJ"
1559,"Lafayette, Louisiana"
1560,bay area
1561,"Minneapolis, Minnesota"
1562,"Sarasota, Florida"
1564,"San Francisco, CA"
1568,"Tabernacle, NJ"
1569,Washington DC
1570,"Eden Prairie, MN"
1571,I'm everywhere in socialist CA
1572,Baltimore
1573,"Boston, MA"
1574,"Indiana, USA"
1575,Antigua
1576,"New York, USA"
1577,"New York, NY"
1578,New York
1579,Berlin
1580,Dallas
1581,"Las Vegas, NV"
1582,"Bridgewater, NJ"
1583,"Orange County, NC"
1584,"San Diego, CA"
1585,"Fishtown, Philadelphia"
1586,"Nevada, USA"
1587,"Tampa, FL"
1588,"UOfA HPER, second floor gym"
1589,"Medina, OH"
1590,"Boston, MA"
1591,The City of Crohnsville
1592,"Aberdeen, SD"
1593,"Aberdeen, SD"
1594,"Lafayette, LA"
1595,Northwest Arkansas
1596,"Santa Cruz, RS"
1597,"West Monroe, La"
1598,"Montreal, QC"
1599,"Burlington, Vermont"
1600,Boston
1601,"New Plymouth District, New Zealand"
1602,"Outskirts, Northern Powerhouse"
1603,"St. Louis, MO"
1604,"Krooklyn, NY"
1605,"Indianapolis, IN"
1606,"State College, Pennsylvania"
1607,United States of America
1608,"Red Deer County, Alberta"
1609,"Huntington-Charleston,WV"
1610,"California, USA"
1611,"Falls Church, VA"
1612,Åland
1613,"Near Manchester, NH"
1614,"St Louis, MO"
1615,Jeddah
1616,Srinagar
1617,Alaska/Idaho/Oregon/Washington
1618,"Golden, CO"
1619,"Cordovil, Rio de Janeiro"
1620,Kabwe
1621,Bermuda
1622,Down the hold just passing time
1623,"Norman, OK"
1624,"Alagoinha, Brasil"
1625,"Albertville, AL"
1626,'Murica
1627,"New York, NY"
1628,"Washington Heights, NY"
1629,"Detroit, Michigan"
1630,"Brasília, Brasil"
1631,Make Money
1632,Puerto Rico
1633,"Halifax, NS"
1634,DePauw University
1635,Bristol
1636,"St. Paul, Minnesota"
1637,"Bristol, CT"
1638,"Spartanburg, SC"
1639,United States
1640,Boston Mass
1641,"Waterbury, CT"
1642,"Natchitoches, LA"
1643,New Jersey
1644,"Erie, Pa."
1645,"Wenham, MA"
1646,"Peoria, IL"
1647,"Washington, D.C."
1648,yes
1649,TX
1650,"Framingham, Mass"
1651,Central Va
1652,"Washington, USA"
1653,"Boston, MA"
1654,Glasgow
1655,Texas
1656,"California, USA"
1657,"Woodbridge, VA USA"
1658,FL/NC USA
1659,UT
1660,"Lawrence, KS"
1661,"Caltech, Pasadena, CA, USA"
1662,"Gravesend, South East"
1663,"Lehigh Valley, PA/NJ"
1664,"Los Angeles, CA"
1666,"Macon, Georgia"
1667,"Midlothian, VA"
1668,Instagram: jkopftwins
1669,United States
1670,"Sao Paulo, Brasil"
1671,"Mount Juliet, TN "
1673,"Florida, USA"
1674,Queens
1675,"Washington, D.C."
1676,"Cartersville, GA"
1677,"Roswell, GA"
1678,"North Carolina, USA"
1679,"New Brunswick, NJ"
1680,"Philadelphia, PA"
1681,"High Point, NC"
1682,"Roslindale, Boston"
1683,WNY Region
1684,New York
1685,"Boston, Massachusetts"
1686,"Los Angeles, CA"
1687,"San Antonio, TX"
1688,"Columbus, OH"
1689,"Niterói, Brasil"
1690,"Jefferson City, MO"
1691,pmts cs
1692,"Kansas City, MO"
1693,United States
1694,"Rio de Janeiro, Brazil"
1695,Chicago
1696,"Illinois, USA"
1697,"Chicago, IL"
1698,"Kent, Ohio"
1699,The basic multilingual plane
1700,"Baltimore, MD"
1701,Reno/Carson/Fallon NV
1702,LAS VEGAS
1703,"Boca Raton, FL"
1704,"Nova Iguaçu, Brasil"
1705,Ima worthless
1706,Rio de Janeiro
1707,"Bandung, Jawa Barat"
1708,"Massachusetts, USA"
1709,Window Seat✈
1710,"Silicon Valley, California"
1711,BH - MG
1712,"Thousand Oaks, CA"
1713,Los Angeles
1714,New Hampshire
1715,Alpha Centauri
1716,"Omaha, NE"
1717,she/her | bi/poly | entp | USA
1718,"Prince George's County, MD"
1719,Iowa
1720,Botswana
1721,Valhalla & Geneva
1722,North Carolina
1723,San Francisco
1724,USA
1725,Nairobi
1726,"Abilene, TX"
1727,palmas-to
1728,United States
1729,GTA
1730,Hertfordshire/Durham
1731,"Florida, USA"
1732,"Dallas, Texas"
1733,
1734,northern california
1735,"manhattan ,nyc"
1736,"Georgia, USA"
1737,Kansas
1738,"Cumming, GA"
1739,"West Columbia, SC"
1740,Abu Dhabi
1741,ky
1742,California
1743,"Columbus, OH"
1745,Jacks Creek TN
1746,KOTA RAJASTHAN
1747,"Cincinnati, Ohio"
1748,Facebook: MilkyWay
1749,"Quad Cities, Iowa/ Illinois"
1750,"New York, NY"
1751,Los Angeles
1752,"Chapel Hill, NC"
1753,"PA/MD, USA"
1754,"Atlanta, GA"
1755,Pullman
1756,"Vilnius, Lithuania"
1757,"Lancaster County, PA"
1758,USA
1759,"Green Bay, WI"
1760,Lasgidi
1761,North Georgia
1762,"Bakersfield, CA"
1763,"Edmonds, WA"
1764,Prague
1765,"Rio de Janeiro, Brasil"
1766,"WAVELAND, USA"
1767,nova iguaçu - rj
1768,"Las Vegas, NV"
1769,"ATL, GA"
1770,"Chattanooga, TN"
1771,Sydney & sometimes Melbourne
1772,The TARDIS/Castle Hopper
1773,West Virginia
1774,Brooklyn
1775,"Georgia, USA"
1776,"Charlotte, NC"
1777,North America
1778,"Madison, Wis."
1779,United States
1780,Los Angeles
1781,"Birmingham, Alabama"
1782,Charlotte | Jersey City
1783,French Southern and Antarctic
1784,"Laranjeiras, Rio de Janeiro"
1785,"Greensboro, NC"
1786,✌️NY ❤️
1787,"Rio de Janeiro, Brasil"
1788,United States
1789,"Houston, TX"
1790,United States
1791,"Los Angeles, California"
1792,"Thorofare, NJ"
1793,Wisconsin
1794,"Queens, NY"
1795,New York City
1796,"Charleston, SC"
1797,"Phoenix, AZ"
1798,"Kansas City, KS"
1799,"Drexel Hill, PA"
1800,"Bolingbrook, IL"
1801,San Francisco Bay Area
1802,Little Rock
1803,Phalaborwa / Pretoria
1804,"Middletown, DE"
1805,"Wausau, WI"
1806,"Houston, TX"
1807,"Washington, DC"
1808,"Rio de Janeiro, Brasil"
1809,"Boca Raton, FL"
1810,"cleveland, ohio"
1811,San Francisco • Ca
1812,New York City
1813,"Seattle, WA"
1814,BOSTON
1815,"Pocatello, ID"
1816,Mid-Michigan
1817,"Washington, DC"
1818,"UC Berkeley, California"
1819,"South Central , Louisiana"
1820,"Chicago, IL"
1821,United States
1822,United States
1823,"California, USA"
1824,"USA Heartland, Second Life"
1825,Milky Way Galaxy
1826,"Kos, Greece"
1827,Nashville
1828,NE OH/ NW PA
1829,"Melbourne, Victoria"
1830,"New York, USA"
1831,Rosyth
1832,"Oakland, CA"
1833,Los Angeles
1834,"Oakland, CA"
1835,All Around
1836,"Poteau,OK"
1837,United States
1838,"Tunica, MS"
1839,"Silver Spring, MD"
1840,"Northbrook, IL, USA"
1841,"East Cambridge, Massachusetts"
1842,"Asheville, NC"
1843,Word-Wide
1844,Earth
1845,"Chesterfield, VA"
1846,"Dallas, TX"
1847,Sydney
1848,"Dacula, GA"
1849,"Tijuca, Rio de Janeiro"
1850,"Dallas, TX"
1851,"Des Moines, IA"
1852,"Branson, MO"
1853,"Dallas, TX"
1854,"Orange County, CA"
1855,"Beverly Hills, CA"
1856,"Miami, FL"
1857,heaven earth is temporary
1858,USA
1859,"Niagara Falls, NY"
1860,"Sicile, Italie"
1861,Pennsylvania
1862,Rural USA
1863,"Boca Raton, FL"
1864,United States
1865,"Alexandria, LA"
1866,Agartha
1867,KUCHING
1868,Scaffold Army Manchester
1869,Freguesia - JPA
1870,"California, USA"
1871,JHB/CPT/Mgowo
1872,"Georgia, USA"
1873,"Alpharetta, GA"
1875,"Puyallup, WA"
1876,"Enumclaw, WA"
1877,"Bellevue, WA"
1878,"Kirkland, WA"
1879,"Mercer Island, WA"
1880,"Bonney Lake, WA"
1881,"Peachtree Corners, GA"
1882,"Gig Harbor, WA"
1883,"Douglasville, GA"
1884,"North Druid Hills, GA"
1885,"Smyrna-Vinings, Georgia"
1886,"Woodinville, WA"
1887,"Woodstock, GA"
1888,"Renton, WA"
1889,"Sandy Springs, GA"
1890,"Woodbridge, Suffolk"
1891,USA
1892,"Massachusetts, USA"
1893,Northwest Arkansas
1894,New York
1895,"Cape Girardeau, Missouri"
1896,"New Orleans, LA"
1897,"Lawrence, KS"
1898,east coast
1899,Bryan/College Station. TX
1900,California
1901,"Roanoke, Virginia"
1902,"Norman, Oklahoma"
1903,New York
1904,"Somerset Village, Bermuda"
1905,"Arlington, VA"
1906,Seattle & Redlands
1907,riding a motorcycle
1908,Brooklyn NYC
1909,Los Angeles
1910,"Rockford, Illinois"
1911,United States
1912,California
1913,Grand Coulee WA
1914,"Washington, DC"
1915,"Newburgh, IN"
1916,Smashville
1917,"Sammamish, WA"
1918,"Shoreline, WA"
1919,"MEDIA, Pa."
1920,"New Orleans, LA"
1921,Jerz
1922,Feasterville
1923,The Hunt for Winners
1924,New York
1925,Jersey
1926,"Dallas/Fort Worth, Texas "
1927,Butthole
1928,"Houston, Texas"
1929,"Petrópolis, RJ"
1930,Thurrock
1931,"Olathe, KS"
1932,"Dollard des Ormeaux, Québec,Ca"
1933,boarder of NH/MA
1934,"Arlington, VA"
1935,"Washington State, USA"
1936,"Rio de Janeiro, ZN"
1937,"Bergen, Norway"
1938,Soviet Canuckistan
1939,"Sunnyvale, CA, USA"
1940,"North Carolina, USA"
1941,"Springfield, PA"
1942,"Seattle, WA"
1943,"Canton, GA"
1944,"Monroe, GA"
1945,"Springfield, IL"
1946,"Johns Creek, GA"
1947,"Dallas, GA"
1948,"Buckhead, GA"
1949,"Decatur, GA"
1950,"Nova Iguaçu, Brasil"
1951,"Hudson, Florida"
1952,Here & There
1954,Everywhere & Nowhere
1955,"Gilead, año II"
1956,United States
1957,"Los Angeles, CA"
1958,"Philadelphia, PA"
1959,Chicago suburbs
1960,"Cleveland,Ohio"
1961,"Kingwood, TX"
1962,Los Angeles
1963,где-то в корее
1964,"NY,NY-SF,CA-ALL POINTS BETWEEN"
1965,Los Angeles
1966,Los Angeles
1967,St. Louis
1968,"Henryetta, Oklahoma "
1969,"Charlotte, NC"
1970,"Greensboro, NC"
1971,Charlottesville
1972,USA
1973,USA
1974,California
1975,Manchester
1976,United States
1977,"Atlanta, GA"
1978,"Volta Redonda, Brasil"
1979,"Austin, TX"
1982,"Chicago, Illinois"
1983,"Ipswich, MA"
1984,"North Carolina, USA"
1985,Nigeria
1986,"Manhattan, NY"
1987,"Ravenna, OH"
1988,"Nairobi, Kenya"
1989,Nevada
1990,Liverpool/Leamington Spa
1991,"Bangor, Maine"
1992,Hot Earth
1993,the clouds ☁️
1994,Caracas
1995,Seattle
1996,Rio de Janeiro
1997,"Waterbury, CT"
1998,Federated States of Micronesia
1999,"Jonesboro, Arkansas USA"
2000,"Los Angeles, Ca."
2001,United States
2002,NOLA • ☁️⁹
2003,Switzerland
2004,South Central USA
2005,"the woods, North Cascades"
2006,"Philadelphia, PA"
2007,"Golden Valley, MN"
2008,Sheffield
2009,DMV
2010,"Cleveland, OH"
2011,Cuiabá - Mato Grosso
2012,"Washington, D.C."
2013,"Portland, OR"
2014,"ClevElanD, OH"
2015,Ploughing a furrow
2016,City of Wannabe Angels
2017,Spitters Are Quitters
2018,"Natal, Brasil"
2019,Anchorage
2020,"Los Angeles, Ca"
2021,"New York, NY"
2022,Lincoln Ne
2023,"Oakland, CA"
2024,"Falls Church, Virginia"
2025,Campinas-SP
2026,"Worcester, MA"
2027,"Duck River, TN"
2028,Massachusetts
2029,"Nairobi, Kenya"
2030,Wirral
2031,"Bogotá, D.C., Colombia"
2032,"State of Wisconsin, U.S.A"
2033,"Cashion, OK to Carrollton, GA"
2034,"Omaha, NE"
2035,"Lake Havasu City, AZ"
2036,"Brighton,Sussex"
2037,"Montana, USA"
2038,"North Dakota, USA"
2039,"Hollidaysburg, PA"
2040,"Clarksville, TN"
2041,Maine
2042,"Washington, DC"
2043,"Columbus, OH"
2044,Ciudad de México
2045,running
2046,"Karşıyaka, İzmir"
2047,"Porirua, New Zealand"
2048,"South Farmingdale, NY"
2049,"Boston, MA"
2050,"Geeenwood Village, Colorado"
2051,Nationwide
2052,New Zealand
2053,Jamaica
2054,"Itasca, IL"
2055,Eastern North Carolina
2056,"Lubbock, Texas"
2057,Sri Lanka
2058,ab.can.
2059,"St Louis, MO"
2060,"Chicago, IL"
2061,"Grantsburg, Wisconsin, USA"
2062,"Columbus, OH"
2063,Beacon
2064,"Los Angeles, CA"
2066,"Buffalo, NY"
2067,CARACAS-VENEZUELA
2068,its pronounced kay-lee
2069,Silver Spring
2070,"Katy, TX"
2071,"Berkeley, CA"
2072,"Louisville, KY"
2073,"Chicago, IL"
2074,"New York City, USA"
2075,"Detroit, MI"
2076,A Closed System
2077,"Madiun, Jawa Timur"
2078,Itz
2079,Seattle or Corpus Christie
2080,"Memphis, Tn"
2081,United States
2082,USA
2083,United States
2085,"New Jersey, USA "
2086,"Austin, TX"
2087,"Rockville, MD"
2088,"Georgia, USA"
2089,New Zealand
2090,"New Concord, Ohio"
2091,LA/Philly
2092,Under a bridge
2093,On the beach of the Moon
2094,"Thornton, CO"
2095,okc
2096,Washington DC
2097,"Huntington Beach, CA"
2098,"Brasília, Brazil"
2099,"Boston, MA"
2100,aberdeenshire
2101,"Fernandina Beach, FL"
2102,Where The Jumblies Live
2103,[RP. OC Trainer]
2104,"Virginia, USA"
2105,Rome
2106,Broke Ass State Of Kansas
2107,Texas
2108,"Atlanta, GA"
2109,saratoga springs ny
2110,"San Diego, CA"
2111,"San Diego, CA"
2112,"Holladay, UT"
2113,California
2114,Winnebago County Illinois
2115,The Greater Chicagoland Area
2117,United States
2118,$$$$$$$$$$$$
2119,"Pierre, SD"
2120,"Michigan, USA"
2121,"Volta Redonda, Brasil"
2122,"Pennsylvania, USA"
2123,United States
2124,"Texas, USA"
2125,USA
2126,"Washington, DC"
2127,United States of America
2128,Houston Texas
2129,"Providence, RI"
2130,"Shithole, USA"
2131,California USA
2132,M  E  S B   H  L
2133,Maldives
2134,"Brick City, Devilsland"
2135,"Longmont, CO"
2136,"Indianapolis, IN"
2137,Midland/Odessa Texas
2138,"Nashville, TN"
2139,"Houston, TX"
2140,"Los Angeles, CA"
2141,Washington DC
2142,"Peabody, MA"
2143,"Midland/Odessa, TX"
2144,"Houston, TX"
2145,"Lévis, Québec"
2146,"New York, USA"
2147,United States
2148,"Columbia, SC"
2149,East of Flumdiddle
2150,"Bainbridge Island, WA"
2151,"Manchester, CT"
2152,"California, USA"
2153,"Ilha do Governador, RJ "
2154,United States
2155,los angeles and palm springs
2156,Indiana
2157,"Hillsboro, OR"
2158,"California, USA"
2159,New York
2160,"Boston, MA"
2161,"Harvey, IL"
2162,Ur guess is as good as mine !
2163,"San Jose, CA"
2164,"Minneapolis, MN"
2165,Many Places
2166,"SoCal Born, SoCal Bred"
2167,"Ohio, USA"
2168,"Wichita Falls, Texas"
2169,"Trenton, NJ"
2170,"Ferndale, MI"
2171,"Pacific Northwest, USA"
2172,"Brooklyn, New York"
2173,"Makati, Philippines"
2174,Tampa FL ✈ SanAngelo tx
2175,"Ipanema, Rio de Janeiro, Brasil"
2177,"Uppsala, Sverige"
2178,Seattle
2179,"Portland, Oregon"
2180,ATX
2181,"Florianópolis, Brazil"
2182,"Vacaville, CA"
2183,Minneapolis
2184,"Washington, DC"
2185,local group
2186,"대한민국, 서울"
2187,"Berlin, CT"
2188,"Leme, Rio de Janeiro"
2189,"Caldwell, ID"
2190,"Aracaju, Brazil"
2191,"Brooklyn, NY"
2192,Chile
2193,"Albuquerque,NM"
2194,"Nashville, TN"
2195,Por aí
2196,"Houston, Texas"
2197,USA
2199,"Duluth, MN "
2200,"Las Vegas, Nevada"
2201,Arkansas
2202,Los Angeles
2203,"Atlanta, Georgia"
2204,Weldon Spring MO
2205,"Sterling, VA"
2206,"Manhattan, NY"
2207,"Atlanta, GA"
2208,North Phoenix
2209,"San Francisco, CA"
2210,"Hollywood, FL"
2211,sunny blackpool
2212,"Philadelphia, PA"
2213,Texas
2214,"Seattle, WA"
2215,"DeFuniak Springs, FL"
2216,United States
2217,"Townsend, GA"
2218,"Wilmington, NC"
2219,"Wilmington, NC"
2220,"New Bern, NC"
2221,"Fayetteville, NC"
2222,"Sapiranga, Brasil"
2223,Rocky Mountains
2224,United States
2225,"Santo Domingo, RD"
2226,"vitoria, br             "
2227,Illinois
2228,New York City
2229,Toledo
2230,"Bismarck, North Dakota"
2231,United States
2232,"Lima, Peru"
2233,"Oviedo, FL"
2234,"Warsaw, NY"
2235,Nashville
2237,Rio de Janeiro
2238,"Santiago, Chile"
2239,"Greeley, CO"
2240,Socialist Nirvana
2241,"Lincoln, NE"
2242,"Seattle, WA"
2243,The middle of nowhere
2244,America The Beautiful
2245,"Bend, OR"
2246,United States
2247,"Walnut Creek, California"
2248,"Washington, D.C."
2249,"St Louis, MO"
2250,"Charleston, SC"
2251,Monsatan X
2252,"Spartanburg, SC"
2253,"Los Angeles, California"
2254,Midwest
2255,MaisonduSuaveFineandApplied
2256,Detroit
2257,"Brooklyn, NY"
2258,"Monrovia, Liberia"
2259,"shreveport, la"
2260,NYC
2261,"Los Angeles, Cali"
2262,"Niterói, Rio de Janeiro "
2263,"Washington, DC"
2264,"Marion, Ohio"
2265,"Greensboro, NC"
2266,Somewhere South of Seattle
2267,Near Skinners Bottom Cornwall
2268,Montreal & Vermont
2269,"Johnson City, TN"
2270,"San Diego, CA"
2271,"Over the Rainbow, Oz"
2272,Prob eating chicken nuggets
2273,"Andalucía, España"
2274,"St Paul, MN"
2275,United States
2276,"Podgorica, Montenegro"
2277,Brittania
2278,"Huntsville, AL"
2279,"Carrboro, where else!"
2280,UGANDA
2281,"Los Angeles, CA"
2282,USA
2283,Emirates Stadium
2284,"Duque de Caxias, RJ, Brasil"
2285,"westchester county, new york"
2286,"Hauppauge, New York, USA"
2287,"Zanesville, Ohio"
2288,"Sandusky County, Ohio"
2289,"Chillicothe, Ohio"
2290,"Coshocton, Ohio"
2291,"Albuquerque, NM"
2292,Brasil
2293,Las Vegas
2294,LYON
2295,Planet Earth
2296,"Phoenix, AZ"
2297,In bed thinking about death
2298,United States
2300,Patos-PB
2301,By the food
2302,"Lagoa Santa, Brasil"
2303,California
2304,"Chicago, IL"
2305,"Grand Rapids, MI"
2306,Planet Kamino
2307,"Broadway, VA"
2309,Los Angeles
2310,"Geneva, Switzerland; DC, USA"
2311,Asgardia
2312,"Madrid, Comunidad de Madrid"
2313,"St. Louis, MO (US)"
2314,DİYARBAKIR
2315,"Texas, Interstate Towing & Recovery of Kyle"
2316,"Washington, DC"
2317,"Darwin, Northern Territory"
2318,"Glasgow, KY"
2319,"Leesburg, FL"
2320,istanbul
2321,"Riverside, CA"
2322,"Seattle, WA"
2323,"Arlington, VA"
2324,he/him
2325,"Rio de Janeiro, Brasil"
2326,"Minnesota, USA"
2327,Guildford
2328,"Lansing, MI"
2329,leftcoast.
2330,"Boston, MA"
2331,"Carrollton, TX"
2332,Southwest Florida
2333,"San Francisco, CA"
2334,"California, USA"
2336,InMyFamly'sLovingEmbracenU?
2337,"Pasadena, CA"
2338,"Palm Coast, FL"
2339,Manaus - Brasil
2340,"St. Paul, Minnesota"
2341,"A van, down by the river"
2342,Baltimore
2343,chicago
2344,"Oviedo, FL"
2345,"Tennessee, USA"
2346,Turkey
2347,Pret a Manger
2348,csulb
2349,NJ
2350,"New Port Richey, Florida"
2351,Republic of Belarus
2352,Nanaimo bc
2353,"Oklahoma City, OK"
2354,"Caracas, Venezuela"
2355,Nordeste
2356,United States
2357,Ocean Beach CA USA
2358,Austin
2359,"California, USA"
2360,United States of America
2361,"Washington, DC"
2362,"Naperville, IL"
2363,Pittsburgh Pennsylvania
2364,LOS (vegAN)GELES
2366,"Atlanta, GA"
2367,"Arlington, TX"
2368,"California, USA"
2369,United States
2370,Brooklyn to the DMV
2371,"Charlotte, NC"
2372,Wilmington DE
2373,"Atlanta, Georgia"
2374,Burton-On-Trent
2375,"Rio de Janeiro, Brasil"
2376,"Phoenix, Arizona"
2377,"Arizona, USA"
2378,"U.S., Guam and Puerto Rico"
2379,Northern California
2380,"Burlington, VT"
2381,"Nassau, Bahamas"
2382,"Davenport, IA"
2383,CT Yankee in King Greg's Court
2384,USA
2385,"Tarnowskie Góry, Polska"
2386,Montreal
2387,wonderland
2388,"Pittsburgh, Baltimore, NYC"
2389,"Portland, Maine"
2390,"Washington, DC"
2391,United States
2392,"Virginia, USA"
2393,Gaia
2394,"Los Angeles, CA"
2395,Philadelphia
2396,"Pennsylvania,Maryland,Delaware"
